=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-1-30_18-0-58
====================================================================================
18:0:58 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
18:0:58 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
18:0:58 | [PermissionManager] Perm (FreeCamera) has been registered!
18:0:58 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
18:0:58 | [PermissionManager] Perm (MenuItemManager) has been registered!
18:0:58 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
18:0:58 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
18:0:58 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
18:0:58 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
18:0:58 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
18:0:58 | [PermissionManager] Perm (MenuServerManager) has been registered!
18:0:58 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
18:0:58 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
18:0:58 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
18:0:58 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
18:0:58 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
18:0:58 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
18:0:58 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
18:0:58 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
18:0:58 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
18:0:58 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
18:0:58 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
18:0:58 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
18:0:58 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
18:0:58 | [PermissionManager] Perm (MenuObjectManager) has been registered!
18:0:58 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
18:0:58 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
18:0:58 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
18:0:58 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
18:0:58 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
18:0:58 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
18:0:58 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
18:0:58 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
18:0:58 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
18:0:58 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
18:0:58 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
18:0:58 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
18:0:58 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
18:0:58 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
18:0:58 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
18:0:58 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
18:0:58 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
18:0:58 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
18:0:58 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
18:0:58 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
18:0:58 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
18:0:58 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
18:0:58 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
18:0:58 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
18:0:58 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
18:0:58 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
18:0:58 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
18:0:58 | [PermissionManager] Perm (MenuBansManager) has been registered!
18:0:58 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
18:0:58 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
18:0:58 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
18:0:58 | [PermissionManager] Perm (MenuWebHooks) has been registered!
18:0:58 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
18:0:58 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
18:0:58 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
18:0:58 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
18:0:58 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
18:0:58 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
18:0:58 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
18:0:58 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
18:0:58 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
18:0:58 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
18:0:58 | [PermissionManager] Perm (EspToolsMenu) has been registered!
18:0:58 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
18:0:58 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
18:0:58 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
18:0:58 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
18:0:58 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
18:0:58 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
18:0:58 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
18:0:58 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
18:0:58 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
18:0:58 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
18:0:58 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
18:0:58 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
18:0:58 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
18:0:58 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
18:0:58 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
18:0:58 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
18:0:58 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
18:0:58 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
18:0:58 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
18:0:58 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
18:0:58 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
18:0:58 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
18:0:58 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
18:0:58 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
18:0:58 | [PermissionManager] Adding Super Admin (76561198253386609)
18:0:58 | [PermissionManager] Adding Super Admin (76561198442072760)
18:0:58 | [PermissionManager] Loaded UserGroups.json
18:0:58 | Building Sets Loaded: 0
18:0:58 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
19:56:6 | Player "thetrutoast" (steamId=76561199154603867) connected to server!
19:56:34 | Player "thetrutoast" (steamId=76561199154603867) connected to server!
19:56:59 | Player "thetrutoast" (steamId=76561199154603867) disconnected from server.
19:57:0 | Player "thetrutoast" (steamId=76561199154603867) disconnected from server.
20:27:51 | Player "MrMittens" (steamId=76561199029727282) connected to server!
20:28:18 | Player "MrMittens" (steamId=76561199029727282) connected to server!
20:36:40 | Player "Fantasma412" (steamId=76561199108168006) connected to server!
20:39:45 | Player "Fantasma412" (steamId=76561199108168006) disconnected from server.
20:39:49 | Player "Fantasma412" (steamId=76561199108168006) disconnected from server.
21:47:52 | Player "MrMittens" (steamId=76561199029727282) disconnected from server.
23:37:14 | Player "Survivor" (steamId=76561199154310715) connected to server!
23:55:28 | Player "Survivor" (steamId=76561199154310715) disconnected from server.
2:16:46 | Player "cmitchell30" (steamId=76561199077603249) connected to server!
2:17:4 | Player "cmitchell30" (steamId=76561199077603249) connected to server!
2:25:24 | Player "cmitchell30" (steamId=76561199077603249) disconnected from server.
2:25:25 | Player "cmitchell30" (steamId=76561199077603249) disconnected from server.
2:31:27 | Player "Survivor" (steamId=76561199154310715) connected to server!
2:35:43 | Player "Survivor (2)" (steamId=76561199100837815) connected to server!
2:36:27 | Player "Survivor" (steamId=76561199154310715) disconnected from server.
2:36:28 | Player "Survivor" (steamId=76561199154310715) disconnected from server.
