=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-4-4_23-1-41
====================================================================================
23:1:41 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
23:1:41 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
23:1:41 | [PermissionManager] Perm (FreeCamera) has been registered!
23:1:41 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
23:1:41 | [PermissionManager] Perm (MenuItemManager) has been registered!
23:1:41 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
23:1:41 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
23:1:41 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
23:1:41 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
23:1:41 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
23:1:41 | [PermissionManager] Perm (MenuServerManager) has been registered!
23:1:41 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
23:1:41 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
23:1:41 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
23:1:41 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
23:1:41 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
23:1:41 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
23:1:41 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
23:1:41 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
23:1:41 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
23:1:41 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
23:1:41 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
23:1:41 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
23:1:41 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
23:1:41 | [PermissionManager] Perm (MenuObjectManager) has been registered!
23:1:41 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
23:1:41 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
23:1:41 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
23:1:41 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
23:1:41 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
23:1:41 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
23:1:41 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
23:1:41 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
23:1:41 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
23:1:41 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
23:1:41 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
23:1:41 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
23:1:41 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
23:1:41 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
23:1:41 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
23:1:41 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
23:1:41 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
23:1:41 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
23:1:41 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
23:1:41 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
23:1:41 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
23:1:41 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
23:1:41 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
23:1:41 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
23:1:41 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
23:1:41 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
23:1:41 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
23:1:41 | [PermissionManager] Perm (MenuBansManager) has been registered!
23:1:41 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
23:1:41 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
23:1:41 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
23:1:41 | [PermissionManager] Perm (MenuWebHooks) has been registered!
23:1:41 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
23:1:41 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
23:1:41 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
23:1:41 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
23:1:41 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
23:1:41 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
23:1:41 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
23:1:41 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
23:1:41 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
23:1:41 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
23:1:41 | [PermissionManager] Perm (EspToolsMenu) has been registered!
23:1:41 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
23:1:41 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
23:1:41 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
23:1:41 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
23:1:41 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
23:1:41 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
23:1:41 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
23:1:41 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
23:1:41 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
23:1:41 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
23:1:41 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
23:1:41 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
23:1:41 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
23:1:41 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
23:1:41 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
23:1:41 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
23:1:41 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
23:1:41 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
23:1:41 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
23:1:41 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
23:1:41 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
23:1:41 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
23:1:41 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
23:1:41 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
23:1:41 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
23:1:41 | [PermissionManager] Adding Super Admin (76561198253386609)
23:1:41 | [PermissionManager] Adding Super Admin (76561198950594742)
23:1:41 | [PermissionManager] Adding Super Admin (76561198329721265)
23:1:41 | [PermissionManager] Adding Super Admin (76561198140728342)
23:1:41 | [PermissionManager] Loaded UserGroups.json
23:1:41 | Building Sets Loaded: 1
23:2:6 | Player "M 3 N D 1 G 0" (steamId=76561197989930295) connected to server!
23:2:7 | Player "Vizinho" (steamId=76561198129206612) connected to server!
23:2:8 | Player "[DY] FROZEN " (steamId=76561198161060673) connected to server!
23:2:8 | Player "[LGBTQIA+] C E L E B R I M B O R" (steamId=76561198114043394) connected to server!
23:2:8 | Player "Andreft" (steamId=76561198141325952) connected to server!
23:2:8 | Player "[Mercenarios]Aguimaro" (steamId=76561198408987315) connected to server!
23:2:9 | Player "Fred$rico" (steamId=76561198116552585) connected to server!
23:2:9 | Player "[LF] =_= TETE" (steamId=76561198129409870) connected to server!
23:2:9 | Player "[hd]marcelinho" (steamId=76561198817477406) connected to server!
23:2:11 | Player "P 3 S A D 3 L O" (steamId=76561198277384503) connected to server!
23:2:19 | Player "[LGBTQIA+] C E L E B R I M B O R" (steamId=76561198114043394) connected to server!
23:2:19 | Player "M 3 N D 1 G 0" (steamId=76561197989930295) connected to server!
23:2:19 | Player "[Mercenarios]Aguimaro" (steamId=76561198408987315) connected to server!
23:2:19 | Player "Andreft" (steamId=76561198141325952) connected to server!
23:2:19 | Player "[hd]marcelinho" (steamId=76561198817477406) connected to server!
23:2:19 | Player "[LF] =_= TETE" (steamId=76561198129409870) connected to server!
23:2:19 | Player "[DY] FROZEN " (steamId=76561198161060673) connected to server!
23:2:22 | Player "Crebim" (steamId=76561198390572206) connected to server!
23:2:23 | Player "P 3 S A D 3 L O" (steamId=76561198277384503) connected to server!
23:2:23 | Player "Vinny" (steamId=76561198076886965) connected to server!
23:2:24 | Player "faisca " (steamId=76561198963172042) connected to server!
23:2:24 | Player "FELIZARDO" (steamId=76561199090866217) connected to server!
23:2:25 | Player "!TALIBAN57_NTC" (steamId=76561198153920981) connected to server!
23:2:25 | Player "Luanzinhooo" (steamId=76561198352162786) connected to server!
23:2:25 | Player "TcheLoco" (steamId=76561198099449370) connected to server!
23:2:26 | Player "[LB]KAS" (steamId=76561199202697738) connected to server!
23:2:29 | Player "KOREA" (steamId=76561198253386609) connected to server!
23:2:34 | Player "TcheLoco" (steamId=76561198099449370) connected to server!
23:2:35 | Player "!TALIBAN57_NTC" (steamId=76561198153920981) connected to server!
23:2:35 | Player "Vinny" (steamId=76561198076886965) connected to server!
23:2:35 | Player "Vizinho" (steamId=76561198129206612) connected to server!
23:2:35 | Player "Crebim" (steamId=76561198390572206) connected to server!
23:2:37 | Player "Luanzinhooo" (steamId=76561198352162786) connected to server!
23:2:39 | Player "faisca " (steamId=76561198963172042) connected to server!
23:2:39 | Player "Estaker" (steamId=76561199105536103) connected to server!
23:2:39 | Player "SpocK" (steamId=76561198084137191) connected to server!
23:2:41 | Player "TripaSeca" (steamId=76561198093060507) connected to server!
23:2:41 | Player ":carousel_horse: " (steamId=76561199241533579) connected to server!
23:2:42 | Player "[LB]KAS" (steamId=76561199202697738) connected to server!
23:2:46 | Player "Cheesie" (steamId=76561198113600698) connected to server!
23:2:48 | Player "[Mercenarios]Aguimaro" (steamId=76561198408987315) disconnected from server.
23:2:52 | Player "KOREA" (steamId=76561198253386609) connected to server!
23:2:54 | Player "Mat*reis Atropela Randola" (steamId=76561198442072760) connected to server!
23:2:55 | Player "SpocK" (steamId=76561198084137191) connected to server!
23:2:55 | Player "Gui" (steamId=76561198306757012) connected to server!
23:2:56 | Player "Estaker" (steamId=76561199105536103) connected to server!
23:2:56 | Player "Cheesie" (steamId=76561198113600698) connected to server!
23:2:58 | Player "Biel SN" (steamId=76561198050836260) connected to server!
23:3:9 | Player "TripaSeca" (steamId=76561198093060507) connected to server!
23:3:13 | Player ":carousel_horse: " (steamId=76561199241533579) connected to server!
23:3:15 | "KOREA" (steamid=76561198253386609) toggled godmode
23:3:16 | Player "[AL-QAEDA]eDu" (steamId=76561198842726554) connected to server!
23:3:21 | "KOREA" (steamid=76561198253386609) toggled freecam
