=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-4-21_17-1-36
====================================================================================
17:1:36 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
17:1:36 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
17:1:36 | [PermissionManager] Perm (FreeCamera) has been registered!
17:1:36 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
17:1:36 | [PermissionManager] Perm (MenuItemManager) has been registered!
17:1:36 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
17:1:36 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
17:1:36 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
17:1:36 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
17:1:36 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
17:1:36 | [PermissionManager] Perm (MenuServerManager) has been registered!
17:1:36 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
17:1:36 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
17:1:36 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
17:1:36 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
17:1:36 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
17:1:36 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
17:1:36 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
17:1:36 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
17:1:36 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
17:1:36 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
17:1:36 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
17:1:36 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
17:1:36 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
17:1:36 | [PermissionManager] Perm (MenuObjectManager) has been registered!
17:1:36 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
17:1:36 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
17:1:36 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
17:1:36 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
17:1:36 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
17:1:36 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
17:1:36 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
17:1:36 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
17:1:36 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
17:1:36 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
17:1:36 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
17:1:36 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
17:1:36 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
17:1:36 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
17:1:36 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
17:1:36 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
17:1:36 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
17:1:36 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
17:1:36 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
17:1:36 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
17:1:36 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
17:1:36 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
17:1:36 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
17:1:36 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
17:1:36 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
17:1:36 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
17:1:36 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
17:1:36 | [PermissionManager] Perm (MenuBansManager) has been registered!
17:1:36 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
17:1:36 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
17:1:36 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
17:1:36 | [PermissionManager] Perm (MenuWebHooks) has been registered!
17:1:36 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
17:1:36 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
17:1:36 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
17:1:36 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
17:1:36 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
17:1:36 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
17:1:36 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
17:1:36 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
17:1:36 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
17:1:36 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
17:1:36 | [PermissionManager] Perm (EspToolsMenu) has been registered!
17:1:36 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
17:1:36 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
17:1:36 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
17:1:36 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
17:1:36 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
17:1:36 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
17:1:36 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
17:1:36 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
17:1:36 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
17:1:36 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
17:1:36 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
17:1:36 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
17:1:36 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
17:1:36 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
17:1:36 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
17:1:36 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
17:1:36 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
17:1:36 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
17:1:36 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
17:1:36 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
17:1:36 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
17:1:36 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
17:1:36 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
17:1:36 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
17:1:36 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
17:1:36 | [PermissionManager] Adding Super Admin (76561198253386609)
17:1:36 | [PermissionManager] Adding Super Admin (76561198950594742)
17:1:36 | [PermissionManager] Adding Super Admin (76561198329721265)
17:1:36 | [PermissionManager] Adding Super Admin (76561198140728342)
17:1:36 | [PermissionManager] Loaded UserGroups.json
17:1:36 | Building Sets Loaded: 2
17:1:36 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
17:1:54 | Player "[YKZ]-Notsniw" (steamId=76561197967151252) connected to server!
17:2:9 | Player "[YKZ]-Notsniw" (steamId=76561197967151252) connected to server!
17:4:44 | Player "Biel FxR" (steamId=76561198050836260) connected to server!
17:4:57 | Player "Biel FxR" (steamId=76561198050836260) connected to server!
17:6:4 | Player "[L.B] Santorin" (steamId=76561199069721527) connected to server!
17:6:17 | Player "[L.B] Santorin" (steamId=76561199069721527) connected to server!
17:6:30 | Player "Blackhalkk" (steamId=76561198067496371) connected to server!
17:6:40 | Player "Blackhalkk" (steamId=76561198067496371) connected to server!
17:7:14 | Player "[L.B]Zeca" (steamId=76561198211423224) connected to server!
17:7:28 | Player "[L.B]Zeca" (steamId=76561198211423224) connected to server!
17:7:35 | Player "[YKZ]-BlackBear" (steamId=76561198343030820) connected to server!
17:7:49 | Player "[YKZ]-BlackBear" (steamId=76561198343030820) connected to server!
17:7:53 | Player "[G.M] O verdadeiro" (steamId=76561198351631304) connected to server!
17:8:28 | Player "[G.M] O verdadeiro" (steamId=76561198351631304) connected to server!
17:10:39 | Player "[L.B] Santorin" (steamId=76561199069721527) disconnected from server.
17:10:40 | Player "[L.B] Santorin" (steamId=76561199069721527) re-connected to server [canceledLogout]
17:10:42 | Player "Blackhalkk" (steamId=76561198067496371) disconnected from server.
17:11:7 | Player "[G.M] O verdadeiro" (steamId=76561198351631304) disconnected from server.
17:11:7 | Player "Biel FxR" (steamId=76561198050836260) disconnected from server.
17:11:7 | Player "[YKZ]-BlackBear" (steamId=76561198343030820) disconnected from server.
17:11:7 | Player "[YKZ]-Notsniw" (steamId=76561197967151252) disconnected from server.
17:11:7 | Player "[L.B] Santorin" (steamId=76561199069721527) disconnected from server.
17:11:7 | Player "[L.B]Zeca" (steamId=76561198211423224) disconnected from server.
