=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-2-13_9-0-34
====================================================================================
9:0:34 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
9:0:34 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
9:0:34 | [PermissionManager] Perm (FreeCamera) has been registered!
9:0:34 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
9:0:34 | [PermissionManager] Perm (MenuItemManager) has been registered!
9:0:34 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
9:0:34 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
9:0:34 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
9:0:34 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
9:0:34 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
9:0:34 | [PermissionManager] Perm (MenuServerManager) has been registered!
9:0:34 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
9:0:34 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
9:0:34 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
9:0:34 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
9:0:34 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
9:0:34 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
9:0:34 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
9:0:34 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
9:0:34 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
9:0:34 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
9:0:34 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
9:0:34 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
9:0:34 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
9:0:34 | [PermissionManager] Perm (MenuObjectManager) has been registered!
9:0:34 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
9:0:34 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
9:0:34 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
9:0:34 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
9:0:34 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
9:0:34 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
9:0:34 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
9:0:34 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
9:0:34 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
9:0:34 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
9:0:34 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
9:0:34 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
9:0:34 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
9:0:34 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
9:0:34 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
9:0:34 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
9:0:34 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
9:0:34 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
9:0:34 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
9:0:34 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
9:0:34 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
9:0:34 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
9:0:34 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
9:0:34 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
9:0:34 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
9:0:34 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
9:0:34 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
9:0:34 | [PermissionManager] Perm (MenuBansManager) has been registered!
9:0:34 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
9:0:34 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
9:0:34 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
9:0:34 | [PermissionManager] Perm (MenuWebHooks) has been registered!
9:0:34 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
9:0:34 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
9:0:34 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
9:0:34 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
9:0:34 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
9:0:34 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
9:0:34 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
9:0:34 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
9:0:34 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
9:0:34 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
9:0:34 | [PermissionManager] Perm (EspToolsMenu) has been registered!
9:0:34 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
9:0:34 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
9:0:34 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
9:0:34 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
9:0:34 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
9:0:34 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
9:0:34 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
9:0:34 | [PermissionManager] Adding Super Admin (76561198253386609)
9:0:34 | [PermissionManager] Adding Super Admin (76561198442072760)
9:0:34 | [PermissionManager] Adding Super Admin (76561198950594742)
9:0:34 | [PermissionManager] Adding Super Admin (76561198329721265)
9:0:34 | [PermissionManager] Loaded UserGroups.json
9:0:34 | Building Sets Loaded: 2
9:0:34 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
9:0:34 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
9:0:34 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
9:0:34 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
9:0:34 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
9:0:34 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
9:0:34 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
9:0:34 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
9:0:34 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
9:0:34 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
9:0:34 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
9:0:34 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
9:0:34 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
9:0:34 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
9:0:34 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
9:0:34 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
9:0:34 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
9:0:34 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
9:3:33 | Player "OneTap" (steamId=76561198815235590) connected to server!
9:3:54 | Player "OneTap" (steamId=76561198815235590) connected to server!
9:18:38 | Player "[GRM] OTG" (steamId=76561198438824008) connected to server!
9:19:27 | Player "[GRM] OTG" (steamId=76561198438824008) connected to server!
9:37:10 | Player "[G.M.] RONALDO" (steamId=76561197981004098) connected to server!
9:37:31 | Player "[G.M.] RONALDO" (steamId=76561197981004098) connected to server!
9:41:51 | Player "[G.M] P4BL0" (steamId=76561198262032545) connected to server!
9:42:5 | Player "[G.M] P4BL0" (steamId=76561198262032545) connected to server!
9:42:21 | Player "[G.M] P4BL0" (steamId=76561198262032545) disconnected from server.
9:42:47 | Player "[G.M] P4BL0" (steamId=76561198262032545) connected to server!
9:43:1 | Player "[G.M] P4BL0" (steamId=76561198262032545) connected to server!
9:46:57 | Player "J4ck" (steamId=76561199010274638) connected to server!
10:0:21 | Player "[Mercenarios] Tiao do Gas" (steamId=76561198268117934) connected to server!
10:0:45 | Player "[Mercenarios] Tiao do Gas" (steamId=76561198268117934) connected to server!
10:4:23 | Player "[G.M.] RONALDO" (steamId=76561197981004098) disconnected from server.
10:4:33 | Player "[G.M.] RONALDO" (steamId=76561197981004098) disconnected from server.
10:5:58 | Player "SANTANA" (steamId=76561199228878387) connected to server!
10:11:8 | Player "[Mercenarios] Tiao do Gas" (steamId=76561198268117934) disconnected from server.
10:17:50 | Player "[G.M] P4BL0" (steamId=76561198262032545) disconnected from server.
10:17:51 | Player "[G.M] P4BL0" (steamId=76561198262032545) disconnected from server.
10:26:58 | Player "OneTap" (steamId=76561198815235590) disconnected from server.
10:42:51 | Player "[G.M] P4BL0" (steamId=76561198262032545) connected to server!
10:43:4 | Player "[G.M] P4BL0" (steamId=76561198262032545) connected to server!
10:43:25 | Player "[AVG]cap.america" (steamId=76561198046104047) connected to server!
10:43:36 | Player "[AVG]cap.america" (steamId=76561198046104047) connected to server!
10:53:5 | Player "SANTANA" (steamId=76561199228878387) connected to server!
10:53:30 | Player "zL7FT" (steamId=76561199191523160) connected to server!
10:53:45 | Player "[GRM] OTG" (steamId=76561198438824008) disconnected from server.
11:0:48 | Player "[G.M] Pasquali" (steamId=76561198263485273) connected to server!
11:1:5 | Player "[G.M] Pasquali" (steamId=76561198263485273) connected to server!
11:4:22 | Player "[G.M.] DMSpan" (steamId=76561198001622323) connected to server!
11:4:37 | Player "[G.M.] DMSpan" (steamId=76561198001622323) connected to server!
11:6:23 | Player "Survivor" (steamId=76561199010274638) disconnected from server.
11:9:54 | Player "[G.M]Expectro" (steamId=76561199170235570) connected to server!
11:10:20 | Player "[G.M]Expectro" (steamId=76561199170235570) connected to server!
11:10:52 | Player "Survivor" (steamId=76561199010274638) connected to server!
11:15:28 | Player "[G.M] Pasquali" (steamId=76561198263485273) disconnected from server.
11:16:54 | Player "[AVG]cap.america" (steamId=76561198046104047) disconnected from server.
11:16:57 | Player "[AVG]cap.america" (steamId=76561198046104047) disconnected from server.
11:19:39 | Player "[Mercenarios] Mayhem" (steamId=76561198291345014) connected to server!
11:20:0 | Player "[Mercenarios] Mayhem" (steamId=76561198291345014) connected to server!
11:23:42 | Player "[Mercenarios] Rambo" (steamId=76561198375135263) connected to server!
11:24:5 | Player "[Mercenarios] Rambo" (steamId=76561198375135263) connected to server!
11:26:13 | Player "[AVG]cap.america" (steamId=76561198046104047) connected to server!
11:26:19 | Player "[AVG]cap.america" (steamId=76561198046104047) connected to server!
11:27:13 | Player "[G.M] Pasquali" (steamId=76561198263485273) connected to server!
11:27:31 | Player "[G.M] Pasquali" (steamId=76561198263485273) connected to server!
11:51:13 | Player "[FdG]M4ndr4k3.Rs*" (steamId=76561197977977178) connected to server!
11:58:55 | Player "zL7FT" (steamId=76561199191523160) disconnected from server.
11:58:57 | Player "zL7FT" (steamId=76561199191523160) disconnected from server.
11:59:7 | Player "[AVG]cap.america" (steamId=76561198046104047) disconnected from server.
11:59:20 | Player "[G.M] Pasquali" (steamId=76561198263485273) disconnected from server.
11:59:30 | Player "SANTANA" (steamId=76561199228878387) disconnected from server.
11:59:30 | Player "Survivor" (steamId=76561199010274638) disconnected from server.
11:59:30 | Player "[G.M.] DMSpan" (steamId=76561198001622323) disconnected from server.
11:59:30 | Player "[Mercenarios] Mayhem" (steamId=76561198291345014) disconnected from server.
11:59:30 | Player "[Mercenarios] Rambo" (steamId=76561198375135263) disconnected from server.
11:59:30 | Player "[G.M]Expectro" (steamId=76561199170235570) disconnected from server.
11:59:30 | Player "[G.M] P4BL0" (steamId=76561198262032545) disconnected from server.
